Dates,BTC_LAST,PX_LOW,PX_HIGH,Daily Returns,BTCF_LAST,PX_LOW,PX_HIGH,Daily Returns
1/1/2019,3720.6,3645.66,3745.6,,3650,3600,3810,
1/2/2019,3884.98,3708.67,3899.58,4.32%,3830,3685,3855,4.81%
1/3/2019,3794.92,3762.38,3916.72,-2.35%,3760,3710,3870,-1.84%
1/4/2019,3833.53,3731.55,3849.67,1.01%,3745,3690,3875,-0.40%
1/7/2019,4005.34,3969.85,4077.21,4.38%,3985,3945,4070,6.21%
1/8/2019,4000.42,3951.74,4109.33,-0.12%,3985,3925,4095,0.00%
1/9/2019,4003.99,3966.42,4041.45,0.09%,3990,3950,4030,0.13%
1/10/2019,4003.99,3574.62,4034.82,0.00%,3605,3525,4020,-10.15%
1/11/2019,4003.99,3587.52,3695.22,0.00%,3635,3560,3685,0.83%
1/14/2019,3663.59,3486.56,3709.91,-8.88%,3650,3400,3700,0.41%
1/15/2019,3568.48,3549.63,3685.11,-2.63%,3535,3490,3665,-3.20%
1/16/2019,3568.48,3567.96,3667.83,0.00%,3560,3545,3645,0.70%
1/17/2019,3568.48,3545.44,3658.59,0.00%,3605,3515,3645,1.26%
1/18/2019,3568.48,3579.52,3649.82,0.00%,3585,3540,3630,-0.56%
1/22/2019,3574.52,3436.4,3611.22,0.17%,3580,3390,3620,-0.14%
1/23/2019,3544.51,3522.22,3612.37,-0.84%,3535,3510,3615,-1.26%
1/24/2019,3570.93,3529.18,3595.2,0.74%,3565,3520,3590,0.85%
1/25/2019,3558.51,3512.82,3578.1,-0.35%,3560,3510,3580,-0.14%
1/28/2019,3541.27,3375.7,3552.36,-0.49%,3380,3325,3515,-5.19%
1/29/2019,3401.14,3343.77,3440.72,-4.04%,3370,3300,3395,-0.30%
1/30/2019,3432.64,3372.96,3458.86,0.92%,3410,3345,3435,1.18%
1/31/2019,3417.04,3396.17,3472.07,-0.46%,3395,3365,3455,-0.44%
2/1/2019,3448.51,3374.67,3456.01,0.92%,3425,3345,3440,0.88%
2/4/2019,3417.03,3386.67,3435.91,-0.92%,3395,3375,3415,-0.88%
2/5/2019,3422.6,3398.45,3430.34,0.16%,3400,3380,3415,0.15%
2/6/2019,3366.32,3338.58,3443.33,-1.66%,3340,3310,3420,-1.78%
2/7/2019,3358.91,3353,3381.62,-0.22%,3340,3335,3370,0.00%
2/8/2019,3594.91,3343.27,3707.33,6.79%,3615,3325,3730,7.91%
2/11/2019,3591.59,3578.58,3653.65,-0.09%,3605,3580,3650,-0.28%
2/12/2019,3576.31,3550.83,3618.2,-0.43%,3605,3550,3625,0.00%
2/13/2019,3571.42,3561.4,3628.96,-0.14%,3570,3555,3630,-0.98%
2/14/2019,3570.02,3537.09,3589.52,-0.04%,3565,3530,3595,-0.14%
2/15/2019,3564.79,3547.14,3614.87,-0.15%,3565,3545,3620,0.00%
2/18/2019,3852.25,3565.6,3916.08,7.76%,3565,3545,3620,0.00%
2/19/2019,3887.89,3830.26,3970.22,0.92%,3935,3595,3970,9.87%
